Year,Status,AdultMort,InfD,EtOH,PercExpen,Measles,BMI,lt5yD,Polio,TotalExpen,DTP,HIV,Thin1_19y,Thin5_9y,Income,Education,Region
2013,0,28.0,5,6.48,26.4072659,73,51.4,6,98.0,4.3,98.0,0.1,2.4,2.5,0.782,15.0,1
2006,0,83.0,0,1.28,448.5952989,144,65.0,0,95.0,2.58,96.0,0.1,4.9,4.5,0.835,13.7,2
2005,1,92.0,0,11.28,7627.412444,2,55.0,0,93.0,9.77,93.0,0.1,1.2,1.0,0.897,16.6,5
2004,0,15.0,3,1.36,379.7659054,1,51.4,4,97.0,5.63,97.0,0.1,6.4,6.3,0.673,13.6,2
2003,0,693.0,2,5.51,299.3671252,59,31.6,4,96.0,4.65,96.0,31.9,1.9,1.8,0.567,11.8,7
2006,0,163.0,9,8.27,0.0,78,57.1,11,73.0,4.85,71.0,0.1,1.6,1.6,0.714,12.4,3
2012,0,175.0,1,10.68,0.0,11,51.5,1,92.0,11.87,92.0,0.1,2.7,2.9,0.6274187138728308,11.999638728323692,5
2014,0,271.0,64,0.01,73.52358168,492,18.6,86,58.0,8.18,62.0,0.1,17.5,17.5,0.476,10.0,2
2000,0,96.0,0,0.01,959.925862,6,64.0,1,94.0,2.51,98.0,0.1,3.2,3.1,0.786,14.1,2
2013,0,518.0,4,0.01,153.3443147,516,31.4,6,9.0,11.7,93.0,9.6,6.1,5.9,0.484,11.1,7
2009,0,198.0,12,2.14,445.4423371,0,46.5,15,92.0,6.79,92.0,0.4,1.3,1.3,0.596,10.4,8
2007,0,276.0,53,0.1,35.80929749,282,16.1,106,57.0,6.94,57.0,1.4,11.4,11.3,0.293,3.8,7
2015,0,211.0,0,4.614855575868398,0.0,11,24.5,0,98.0,5.9301628423390005,99.0,0.5,15.4,16.0,0.604,12.5,1
2011,0,67.0,0,1.92,1079.893546,0,23.1,0,96.0,8.11,96.0,0.1,13.9,14.0,0.663,11.8,1
2012,0,217.0,56,5.02,212.7418488,1536,23.7,71,88.0,4.46,88.0,0.1,1.0,9.7,0.666,11.6,1
2012,0,429.0,26,6.09,92.60233636,0,3.3,39,95.0,6.69,95.0,8.8,6.5,6.4,0.464,9.8,7
2008,0,371.0,84,7.07,249.9101958,265,19.3,133,65.0,3.84,69.0,2.6,9.5,9.4,0.468,8.1,7
2012,0,22.0,7,2.75,579.4128244,0,45.9,8,98.0,1.96,97.0,0.1,3.2,3.3,0.672,10.7,1
2003,0,383.0,29,4.614855575868398,0.0,0,38.235393646408745,46,82.54829838432451,5.9301628423390005,82.3214162942592,3.5,4.850621546961334,4.881422651933698,0.0,0.0,7
2010,0,298.0,7,3.53,0.0,4,24.5,10,72.0,2.29,74.0,3.8,8.1,7.7,0.548,10.5,8
2001,0,124.0,2,5.43,7.320514461,0,46.9,2,95.0,7.72,99.0,0.1,2.3,2.3,0.721,12.4,8
2002,0,98.0,0,9.25,3099.357319,0,56.6,0,95.0,7.81,98.0,0.1,0.9,0.8,0.863,18.0,5
2008,0,278.0,55,0.57,102.1413744,98,19.6,94,74.0,6.74,74.0,1.6,9.2,9.0,0.36,5.8,7
2000,0,457.0,114,3.89,0.0,14649,16.0,181,64.0,2.64,79.0,12.8,8.3,8.3,0.6274187138728308,11.999638728323692,8
2014,0,164.0,0,1.58,0.0,140,68.7,0,76.0,13.71,77.0,0.1,0.2,0.2,0.639,11.7,6
2004,0,162.0,0,3.62,310.6117683,0,68.9,0,26.0,4.45,55.0,0.1,0.2,0.2,0.665,12.4,6
2001,0,14.0,1,1.67,243.7539129,30,55.0,1,94.0,2.48,94.0,0.1,5.3,5.1,0.798,12.0,2
2014,1,57.0,2,0.01,88.83362243,462,28.6,3,99.0,1.23,96.0,0.1,2.0,1.7,0.899,15.3,1
2005,0,314.0,233,1.43,0.0,182485,16.9,329,6.0,3.14,6.0,2.0,11.5,11.3,0.6274187138728308,11.999638728323692,7
2013,0,144.0,0,8.25,780.4459281,0,46.5,0,98.0,6.15,97.0,0.1,3.8,3.8,0.746,15.8,8
2006,0,92.0,3,12.4,5689.991931,40,58.0,4,99.0,1.53,99.0,0.1,0.6,0.6,0.87,16.1,5
