Dev,GDP,T_Expen,Income,Pop,Ed,EtOH,HepB,Polio,Dipt,HIV,BMI,A_Mort,lt5y_D,Th_5-9y,L_Expec
0,584.25921,8.16,0.479,33736494.0,10.1,0.01,65.0,6.0,65.0,0.1,19.1,263.0,83,17.3,65.0
0,612.696514,8.18,0.476,327582.0,10.0,0.01,62.0,58.0,62.0,0.1,18.6,271.0,86,17.5,59.9
0,631.744976,8.13,0.47,31731688.0,9.9,0.01,64.0,62.0,64.0,0.1,18.1,268.0,89,17.7,59.9
0,669.959,8.52,0.463,3696958.0,9.8,0.01,67.0,67.0,67.0,0.1,17.6,272.0,93,18.0,59.5
0,63.537231,7.87,0.454,2978599.0,9.5,0.01,68.0,68.0,68.0,0.1,17.2,275.0,97,18.2,59.2
0,553.32894,9.2,0.448,2883167.0,9.2,0.01,66.0,66.0,66.0,0.1,16.7,279.0,102,18.4,58.8
0,445.8932979,9.42,0.434,284331.0,8.9,0.01,63.0,63.0,63.0,0.1,16.2,281.0,106,18.7,58.6
0,373.3611163,8.33,0.433,2729431.0,8.7,0.03,64.0,64.0,64.0,0.1,15.7,287.0,110,18.9,58.1
0,369.835796,6.73,0.415,26616792.0,8.4,0.02,63.0,63.0,63.0,0.1,15.2,295.0,113,19.1,57.5
0,272.56377,7.43,0.405,2589345.0,8.1,0.03,64.0,58.0,58.0,0.1,14.7,295.0,116,19.3,57.3
0,25.2941299,8.7,0.396,257798.0,7.9,0.02,66.0,58.0,58.0,0.1,14.2,291.0,118,19.5,57.3
0,219.1413528,8.79,0.381,24118979.0,6.8,0.02,67.0,5.0,5.0,0.1,13.8,293.0,120,19.7,57.0
0,198.7285436,8.82,0.373,2364851.0,6.5,0.01,65.0,41.0,41.0,0.1,13.4,295.0,122,19.9,56.7
0,187.84595,7.76,0.341,21979923.0,6.2,0.01,64.0,36.0,36.0,0.1,13.0,3.0,122,2.2,56.2
0,117.49698,7.8,0.34,2966463.0,5.9,0.01,63.0,35.0,33.0,0.1,12.6,316.0,122,2.4,55.3
0,114.56,8.2,0.338,293756.0,5.5,0.01,62.0,24.0,24.0,0.1,12.2,321.0,122,2.5,54.8
0,3954.22783,6.0,0.762,28873.0,14.2,4.6,99.0,99.0,99.0,0.1,58.0,74.0,0,1.3,77.8
0,4575.763787,5.88,0.761,288914.0,14.2,4.51,98.0,98.0,98.0,0.1,57.2,8.0,1,1.3,77.5
0,4414.72314,5.66,0.759,289592.0,14.2,4.76,99.0,99.0,99.0,0.1,56.5,84.0,1,1.4,77.2
0,4247.61438,5.59,0.752,2941.0,14.2,5.14,99.0,99.0,99.0,0.1,55.8,86.0,1,1.4,76.9
0,4437.17868,5.71,0.738,295195.0,13.3,5.37,99.0,99.0,99.0,0.1,55.1,88.0,1,1.5,76.6
0,494.358832,5.34,0.725,291321.0,12.5,5.28,99.0,99.0,99.0,0.1,54.3,91.0,1,1.5,76.2
0,4114.136545,5.79,0.721,2927519.0,12.2,5.79,98.0,98.0,98.0,0.1,53.5,91.0,1,1.6,76.1
0,437.539647,5.87,0.713,2947314.0,12.0,5.61,99.0,99.0,99.0,0.1,52.6,1.0,1,1.6,75.3
0,363.13685,6.1,0.703,29717.0,11.6,5.58,98.0,99.0,98.0,0.1,51.7,9.0,1,1.7,75.9
0,35.1293,5.86,0.696,2992547.0,11.4,5.31,98.0,97.0,97.0,0.1,5.8,99.0,1,1.8,74.2
